star,teff,erteff,logg,erlogg,vtur,ervtur,feh,erfeh,NaI,NaI_err,NaI_rel_sun,MgI,MgI_err,MgI_rel_sun,SiI,SiI_err,SiI_rel_sun,TiI,TiI_err,TiI_rel_sun,NiI,NiI_err,NiI_rel_sun,source_id,target_id,planet_name,period,planet_mass,planet_radius,planet_mass_rel_err,planet_radius_rel_err,gaia_dr3_id,stellar_eff_temp,stellar_surface_gravity,stellar_metallicity,stellar_metallicity_upper,stellar_metallicity_lower,stellar_metallicity_ratio,Number of Spectra,f_iron_pbb,f_iron_pbb_err,f_iron_exolens_P,f_iron_exoplens_P_upper,f_iron_exolens_P_lower,f_iron_exolens_S,f_iron_exolens_S_err,f_iron_exoplex_gaus,f_iron_exoplex_unif,f_iron_exoplex_gaus_err,f_iron_exoplex_unif_err,semi_major_axis,semi_major_axis_lower,semi_major_axis_upper,T_eq
HD3167_ESPRESSO_2024,5228,32,4.285,0.064,0.676,0.056,-0.019,0.021,6.402,0.044,-0.016,7.627,0.02,0.014,7.609,0.031,0.038,5.068,0.081,0.056,6.268,0.045,0.0,2.55403247471254e+18,hd3167,HD 3167 b,0.95965428,0.01488,0.145,0.0601478494623655,0.0413793103448275,2.55403247471254e+18,5300,4.47,0.037,0.048,0.048,[Fe/H],4,30.01,1.4,8.83167726801649,17.6735915019347,19.2707023614892,29.9903228750382,1.75257565786723,23.60888711952104,11.81861728055169,3.164101950988304,7.834242120614599,0.01802,0.00025,0.00025,1776.5931348725785
HD80653_ESPRESSO_2024,5951,18,4.33,0.041,1.119,0.021,0.344,0.014,6.896,0.058,0.478,7.921,0.038,0.308,7.915,0.024,0.344,5.332,0.035,0.32,6.649,0.024,0.381,6.0647725223878e+17,hd80653,HD 80653 b,0.719573,0.018,0.144,0.0619444444444444,0.0416666666666666,6.0647725223878e+17,5959,,0.255,0.065,0.065,[Fe/H],1,33.06,1.29,31.3666203275863,14.9262355663494,16.2330404342937,33.0646115142155,2.47472600595397,31.6299843332806,23.630765290504723,5.6947703713985804,9.577421039974226,0.01661,0.00019,0.00019,2463.7597815765025
TOI-469_SINGLEHR11_ESPRESSO_2022,5289,35,4.237,0.083,0.735,0.061,0.239,0.024,6.587,0.052,0.169,7.871,0.021,0.258,7.809,0.022,0.238,5.266,0.071,0.254,6.499,0.048,0.231,2.99356162944486e+18,toi-469,HIP 29442 c,3.53796,0.01416,0.141,0.0663841807909604,0.0673758865248227,2.99356162944486e+18,5289,4.39,0.24,0.05,0.05,[Fe/H],85,31.93,1.43,15.1318301714086,25.9434663950146,29.7031478996973,31.929028637333,1.8128393845824,27.7947053671964,25.588647466179864,4.970728852876389,12.666357221946344,0.0436,0.0007,0.0006,1209.6876231562665
K2-111_ESPRESSO_2024,5791,15,4.346,0.024,1.105,0.033,-0.477,0.012,5.97,0.04,-0.448,7.412,0.059,-0.201,7.277,0.025,-0.294,4.805,0.034,-0.207,5.813,0.022,-0.455,5.30066695992673e+16,k2-111,K2-111 b,5.3518,0.01756,0.162,0.131833712984055,0.0555555555555555,5.30066695992673e+16,5775,,-0.46,0.05,0.05,[Fe/H],39,22.14,1.3,-23.2790409568869,30.9219227947701,35.6763972729254,22.1432077017647,2.73563149155808,9.56572367061321,,6.469496508292187,,0.0565,0.00045,0.00045,1310.4264431201796
K2-131_ESPRESSO_2024,5043,43,4.272,0.086,0.941,0.071,-0.157,0.023,6.204,0.045,-0.214,7.422,0.053,-0.191,7.454,0.038,-0.117,4.899,0.074,-0.113,6.063,0.04,-0.205,3.58092087843794e+18,k2-131,K2-131 b,0.3693038,0.02486,0.151,0.164521319388576,0.043046357615894,3.58092087843794e+18,5120,,-0.04,0.07,0.07,[Fe/H],2,31.78,1.95,43.4017716106537,16.9390981472575,20.2644635613298,31.8004118926529,3.51624506741509,33.2268451798795,49.61066832851285,8.07518511284465,4.787134962331272,0.00936,0.00014,0.00014,2225.7106798799255
K2-265_ESPRESSO_2024,5427,27,4.345,0.047,0.759,0.045,0.049,0.019,6.455,0.041,0.037,7.689,0.025,0.076,7.645,0.029,0.074,5.125,0.045,0.113,6.336,0.028,0.068,2.59711962098566e+18,k2-265,K2-265 b,2.369172,0.02058,0.153,0.128279883381924,0.065359477124183,2.59711962098566e+18,5477,4.42,0.078,0.02,0.02,[Fe/H],1,31.02,1.35,21.6090305234979,25.5076369909503,29.529811303981,31.0222414813038,1.88961460228595,28.21183691302548,42.268852804265386,4.210468990030813,11.922218614368788,0.03376,0.00021,0.00021,1423.5883877074443
HD285181_ESPRESSO_2024,5554,21,4.436,0.043,0.837,0.037,0.107,0.016,6.422,0.023,0.004,7.693,0.025,0.08,7.667,0.051,0.096,5.139,0.031,0.127,6.339,0.025,0.071,3.4091487466766e+18,hd285181,K2-291 b,2.225177,0.02042,0.142,0.178746327130264,0.0492957746478873,3.4091487466766e+18,5520,4.5,0.08,0.04,0.05,[Fe/H],1,33.21,1.82,47.0478802878049,18.4466751349687,22.3231556997122,33.2081975387806,2.2757712623538,33.565217796023816,55.51193703773038,5.5925411514285335,6.679985434901722,0.03261,0.00044,0.00044,1398.9906438364403
K2-38_ESPRESSO_2024,5726,22,4.266,0.032,0.965,0.034,0.257,0.017,6.728,0.104,0.31,7.941,0.035,0.328,7.842,0.027,0.271,5.29,0.042,0.278,6.579,0.03,0.311,6.23712965876038e+18,k2-38,K2-38 b,4.01593,0.02423,0.148,0.149401568303756,0.0608108108108108,6.23712965876038e+18,5705,,0.235,0.07,0.07,[Fe/H],43,30.34,1.34,47.6822086627263,19.6176430437369,23.0178165168905,30.3742776991938,2.22723858018428,31.39979304458473,54.77001533417264,5.437412721152365,13.200086061381732,0.0503,0.0011,0.0011,1310.249367954975
TOI-238_SINGLEHR11_ESPRESSO_2022,4923,45,4.269,0.1,0.476,0.133,-0.156,0.024,6.258,0.052,-0.16,7.489,0.041,-0.124,7.542,0.066,-0.029,4.941,0.111,-0.071,6.104,0.046,-0.164,2.40508173328143e+18,toi-238,TOI-238 b,1.2730991,0.0107,0.125,0.135514018691589,0.064,2.40508173328143e+18,5059,4.58,-0.114,0.051,0.051,[Fe/H],80,28.01,2.32,33.0358240472805,23.8645106259891,27.8677775940045,27.9881938474858,3.16182769620165,27.1138133961418,36.82801607281801,6.751574606026519,12.778598911236742,0.02118,0.00038,0.00038,1432.8245317369149
TOI-561_ESPRESSO_2024,5318,20,4.39,0.047,0.455,0.056,-0.404,0.014,6.053,0.022,-0.365,7.435,0.044,-0.178,7.306,0.037,-0.265,4.874,0.051,-0.138,5.869,0.03,-0.399,3.85042100529017e+18,toi-561,TOI-561 b,0.4465688,0.00705,0.122,0.0893617021276595,0.0327868852459016,3.85042100529017e+18,5326,4.5,-0.41,0.05,0.05,[Fe/H],2,24.02,1.34,-4.42108472855374,18.0925077503959,19.9603910352375,24.0587085006167,2.32288096036759,13.72137804871724,6.40802315629794,5.325985606135862,0.0,0.0106,0.0004,0.0004,2273.6161874685954
WASP-47_ESPRESSO_2024,5552,37,4.296,0.066,0.947,0.052,0.404,0.027,6.923,0.066,0.505,8.028,0.041,0.415,8.018,0.06,0.447,5.461,0.074,0.449,6.718,0.047,0.45,2.61341300891992e+18,wasp-47,WASP-47 e,0.78961,0.02832,0.163,0.055614406779661,0.0122699386503067,2.61341300891992e+18,5552,,,,,,31,30.85,2.3,28.5130241641129,6.32116897621845,6.74332839756741,30.8316001204708,3.21013474999238,26.09716854204897,29.979495258173788,4.523753167142151,7.15438878135086,0.01705,0.00027,0.00027,2209.2564793718416
