designation,source_id,ra,dec,parallax,radial_velocity,non_single_star,teff_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 3580920878437938688,3580920878437938688,182.75139844406323,-9.765239854505507,6.47855092085001,-5.7505274,0,5071.8384,K2-131,182.75157661492997,-9.765216955689999,6.4786,-39.508,-5.152,-7.093,2000.0,2.1770338085938865E-9
Gaia DR3 2643952940813536768,2643952940813536768,350.9170625673834,-1.1891792403354395,16.13029393685726,-3.1390147,0,4436.6133,K2-141,350.91654545755,-1.18929130037,16.1303,116.325,25.214,-3.2181,2000.0,3.0588476271475765E-9
Gaia DR3 3620501712193719296,3620501712193719296,208.90144250884643,-6.136081112324806,9.241065980901041,0.13232282,0,4544.274,K2-199,208.90170681072996,-6.13614909298,9.2411,-59.127,15.296,-0.591,2000.0,1.8998321051932888E-9
Gaia DR3 2556231154370582400,2556231154370582400,11.480235138301607,6.347031671793535,8.688432016758565,-26.530067,0,4628.5464,K2-216,11.480243412720002,6.346985246980001,8.6884,-1.85,10.446,-26.1496,2000.0,2.4899455867774016E-9
Gaia DR3 3583630934082556416,3583630934082556416,186.87290813968548,-6.721846365164059,9.762128897329127,22.847445,0,5263.0347,K2-229,186.87326957004998,-6.721879706729999,9.7621,-80.763,7.502,19.85,2000.0,7.899943611583151E-10
Gaia DR3 2597119620985658496,2597119620985658496,342.03165366160624,-14.494782194358734,7.1549573200411185,-17.427114,0,5322.863,K2-265,342.03151531109995,-14.494678376289997,7.155,30.138,-23.359,-17.978,2000.0,1.3741693278267162E-10
Gaia DR3 6259263137059042048,6259263137059042048,228.2482372453887,-16.724652140760146,3.0946820666201593,22.309837,0,5565.041,K2-314,228.24817430702998,-16.72449959665,3.0947,13.562,-34.322,21.36,2000.0,2.1217651050876876E-9
Gaia DR3 3811989156889528320,3811989156889528320,169.44900733726678,3.86650752286322,9.165319111513885,13.446006,0,4877.75,K2-36,169.44909820913,3.866390503059999,9.1653,-20.4,26.329,13.25,2000.0,2.6927765573888616E-9
Gaia DR3 6237129658760381056,6237129658760381056,240.03330077926094,-23.189424807773793,5.2473533613813395,-36.141983,0,5680.2427,K2-38,240.03357521580995,-23.1892580927,5.2474,-56.76,-37.511,-35.5994,2000.0,3.2457690260455424E-9
Gaia DR3 5068777809824976256,5068777809824976256,36.86787306156828,-27.636146588987362,22.292169897307627,-3.8747983,0,5063.1753,TOI-402,36.86824219719001,-27.635204654339997,22.2922,-73.581,-211.935,-3.882,2000.0,5.796604099642327E-9
Gaia DR3 3850421005290172416,3850421005290172416,148.18513643854166,6.216094576286586,11.834201180671215,79.56436,0,5565.3374,TOI-561,148.18562153651,6.216366933390001,11.8342,-108.504,-61.279,80.1105,2000.0,1.6684326215337107E-8
Gaia DR3 2613413008919918976,2613413008919918976,331.2030941439568,-12.01907283535385,3.7009772650191635,-26.564817,0,5400.1953,WASP-47,331.20302564553,-12.01888853991,3.701,15.074,-41.467,-26.9728,2000.0,2.8723422775803353E-9
